name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
"Schad, Christian",Male,1894–1982,1894,1982,"Miesbach, Deutschland","Stuttgart, Deutschland",http://www.tate.org.uk/art/artists/christian-schad-2331
"Scheibitz, Thomas",Male,born 1968,1968,9999,"Radeberg, Deutschland",Missing,http://www.tate.org.uk/art/artists/thomas-scheibitz-10538
"Schendel, Mira",Female,1919–1988,1919,1988,"Zürich, Schweiz","São Paulo, Brasil",http://www.tate.org.uk/art/artists/mira-schendel-9636
"Schetky, John Christian",Male,1778–1874,1778,1874,"Edinburg, United States","London, United Kingdom",http://www.tate.org.uk/art/artists/john-christian-schetky-478
"Schinwald, Markus",Male,born 1973,1973,9999,"Salzburg, Österreich",Missing,http://www.tate.org.uk/art/artists/markus-schinwald-7734
"Schmidt, Peter",Male,1931–1980,1931,1980,"Berlin, Deutschland",Missing,http://www.tate.org.uk/art/artists/peter-schmidt-1903
"Schmidt-Rottluff, Karl",Male,1884–1976,1884,1976,"Chemnitz, Deutschland","Berlin, Deutschland",http://www.tate.org.uk/art/artists/karl-schmidt-rottluff-1904
"Schnabel, Julian",Male,born 1951,1951,9999,"New York, United States",Missing,http://www.tate.org.uk/art/artists/julian-schnabel-1905
"Schneemann, Carolee",Female,born 1939,1939,9999,"Fox Chase, United States",Missing,http://www.tate.org.uk/art/artists/carolee-schneemann-5446
"Schneider, Gerard",Male,1896–1986,1896,1986,Missing,Missing,http://www.tate.org.uk/art/artists/gerard-schneider-1906
"Schoonhoven, Jan",Male,1914–1994,1914,1994,"Delft, Nederland",Missing,http://www.tate.org.uk/art/artists/jan-schoonhoven-1907
"Schorr, Raoh",Male,1901–1991,1901,1991,Missing,Missing,http://www.tate.org.uk/art/artists/raoh-schorr-1908
"Schuffenecker, Emile",Male,1851–1934,1851,1934,"Haute-Garonne, France","Paris, France",http://www.tate.org.uk/art/artists/emile-schuffenecker-1909
"Schultze, Bernard",Male,1915–2005,1915,2005,"Pila, Polska","Köln, Deutschland",http://www.tate.org.uk/art/artists/bernard-schultze-2277
"Schulz-Dornburg, Ursula",Female,born 1938,1938,9999,"Berlin, Deutschland",Missing,http://www.tate.org.uk/art/artists/ursula-schulz-dornburg-16115
"Schumacher, Emil",Male,1912–1999,1912,1999,"Hagen, Deutschland","Ibiza, España",http://www.tate.org.uk/art/artists/emil-schumacher-1910
"Schurmann, Herbert",Male,1908–1982,1908,1982,"Velbert, Deutschland","Velbert, Deutschland",http://www.tate.org.uk/art/artists/herbert-schurmann-16341
"Schütte, Thomas",Male,born 1954,1954,9999,"Oldenburg, Deutschland",Missing,http://www.tate.org.uk/art/artists/thomas-schutte-2374
"Schwabe, Randolph",Male,1885–1948,1885,1948,"Manchester, United Kingdom","Helensburgh, United Kingdom",http://www.tate.org.uk/art/artists/randolph-schwabe-1911
"Schwarzkogler, Rudolf",Male,1940–1969,1940,1969,"Wien, Österreich",Missing,http://www.tate.org.uk/art/artists/rudolf-schwarzkogler-4823
"Schwitters, Kurt",Male,1887–1948,1887,1948,"Hannover, Deutschland","Kendal, United Kingdom",http://www.tate.org.uk/art/artists/kurt-schwitters-1912
"Scott, Campbell",Male,born 1930,1930,9999,Missing,Missing,http://www.tate.org.uk/art/artists/campbell-scott-1913
"Scott, David",Male,1806–1849,1806,1849,Missing,Missing,http://www.tate.org.uk/art/artists/david-scott-479
"Scott, Frances",Female,1750–1817,1750,1817,Missing,Missing,http://www.tate.org.uk/art/artists/frances-scott-lady-douglas-2573
"Scott, Robert",Male,born 1926,1926,9999,Missing,Missing,http://www.tate.org.uk/art/artists/robert-scott-1914
"Scott, Samuel",Male,c.1702–1772,1702,1772,"London, United Kingdom","Bath, United Kingdom",http://www.tate.org.uk/art/artists/samuel-scott-480
"Scott, Tim",Male,born 1937,1937,9999,"Surrey, United Kingdom",Missing,http://www.tate.org.uk/art/artists/tim-scott-1915
"Scott, William",Male,1913–1989,1913,1989,"Greenock, United Kingdom","England, United Kingdom",http://www.tate.org.uk/art/artists/william-scott-1916
"Scott, William Bell",Male,1811–1890,1811,1890,Edinburgh,"Scotland, United Kingdom",http://www.tate.org.uk/art/artists/william-bell-scott-481
"Scully, Sean",Male,born 1945,1945,9999,"Dublin, Éire",Missing,http://www.tate.org.uk/art/artists/sean-scully-1917
"Seabrooke, Elliott",Male,1886–1950,1886,1950,"Essex, United Kingdom","Nice, France",http://www.tate.org.uk/art/artists/elliott-seabrooke-1918
"Seawright, Paul",Male,born 1965,1965,9999,"Belfast, United Kingdom",Missing,http://www.tate.org.uk/art/artists/paul-seawright-9835
"Seba, Albertus",Male,Missing,9999,9999,"Amsterdam, Nederland",Missing,http://www.tate.org.uk/art/artists/albertus-seba-2626
"Seddon, John Pollard",Male,1827–1906,1827,1906,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/john-pollard-seddon-482
"Seddon, Thomas",Male,1821–1856,1821,1856,"London, United Kingdom","Al-Qahirah, Misr",http://www.tate.org.uk/art/artists/thomas-seddon-483
"Sedgley, Peter",Male,born 1930,1930,9999,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/peter-sedgley-1919
"Sedira, Zineb",Female,born 1963,1963,9999,"Paris, France",Missing,http://www.tate.org.uk/art/artists/zineb-sedira-4956
"Seers, Lindsay",Female,born 1966,1966,9999,"Mauritius, Mauritius",Missing,http://www.tate.org.uk/art/artists/lindsay-seers-12601
"Sefran, Gorazd",Male,born 1945,1945,9999,"Ljubljana, Slovenija",Missing,http://www.tate.org.uk/art/artists/gorazd-sefran-1920
"Segal, Arthur",Male,1875–1944,1875,1944,"Iasi, România","London, United Kingdom",http://www.tate.org.uk/art/artists/arthur-segal-1921
"Segar, Sir William",Male,active 1580 or 5–1633,1580,1633,Missing,"Surrey, United Kingdom",http://www.tate.org.uk/art/artists/sir-william-segar-484
"Sehgal, Tino",Male,born 1976,1976,9999,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/tino-sehgal-8300
