name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
"Abakanowicz, Magdalena",Female,born 1930,1930,9999,Polska,Missing,http://www.tate.org.uk/art/artists/magdalena-abakanowicz-10093
"Abbey, Edwin Austin",Male,1852–1911,1852,1911,"Philadelphia, United States","London, United Kingdom",http://www.tate.org.uk/art/artists/edwin-austin-abbey-0
"Abbott, Berenice",Female,1898–1991,1898,1991,"Springfield, United States","Monson, United States",http://www.tate.org.uk/art/artists/berenice-abbott-2756
"Abbott, Lemuel Francis",Male,1760–1803,1760,1803,"Leicestershire, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/lemuel-francis-abbott-1
"Abrahams, Ivor",Male,born 1935,1935,9999,"Wigan, United Kingdom",Missing,http://www.tate.org.uk/art/artists/ivor-abrahams-622
Absalon,Male,1964–1993,1964,1993,"Tel Aviv-Yafo, Yisra'el","Paris, France",http://www.tate.org.uk/art/artists/absalon-2606
"Abts, Tomma",Female,born 1967,1967,9999,"Kiel, Deutschland",Missing,http://www.tate.org.uk/art/artists/tomma-abts-9550
"Acconci, Vito",Male,born 1940,1940,9999,"New York, United States",Missing,http://www.tate.org.uk/art/artists/vito-acconci-623
"Ackling, Roger",Male,1947–2014,1947,2014,"Isleworth, United Kingdom",Missing,http://www.tate.org.uk/art/artists/roger-ackling-624
"Ackroyd, Norman",Male,born 1938,1938,9999,"Leeds, United Kingdom",Missing,http://www.tate.org.uk/art/artists/norman-ackroyd-625
"Adam, Robert",Male,1728–1792,1728,1792,"Kirkcaldy, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/robert-adam-2411
"Adams, Harry William",Male,1868–1947,1868,1947,"Worcester, United Kingdom","Worcester, United Kingdom",http://www.tate.org.uk/art/artists/harry-william-adams-626
"Adams, Norman",Male,1927–2005,1927,2005,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/norman-adams-627
"Adams, Robert",Male,1917–1984,1917,1984,"Northampton, United Kingdom",Missing,http://www.tate.org.uk/art/artists/robert-adams-628
"Adeney, Bernard",Male,1878–1966,1878,1966,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/bernard-adeney-629
"Adler, Jankel",Male,1895–1949,1895,1949,"Tuszyn, Polska","Aldbourne, United Kingdom",http://www.tate.org.uk/art/artists/jankel-adler-630
"Adshead, Mary",Female,1904–1995,1904,1995,"London, United Kingdom","Hampstead, United Kingdom",http://www.tate.org.uk/art/artists/mary-adshead-2608
"Adzak, Roy",Male,1927–1987,1927,1987,"Reading, United Kingdom","Paris, France",http://www.tate.org.uk/art/artists/roy-adzak-631
Afro,Male,1912–1976,1912,1976,"Udine, Italia","Zürich, Schweiz",http://www.tate.org.uk/art/artists/afro-afro-basaldella-632
"Agar, Eileen",Female,1899–1991,1899,1991,"Ayacucho, Argentina","London, United Kingdom",http://www.tate.org.uk/art/artists/eileen-agar-633
"Agasse, Jacques Laurent",Male,1767–1849,1767,1849,"Genève, Schweiz","London, United Kingdom",http://www.tate.org.uk/art/artists/jacques-laurent-agasse-2
"Ahtila, Eija-Liisa",Female,born 1959,1959,9999,"Hämeenlinna, Suomi",Missing,http://www.tate.org.uk/art/artists/eija-liisa-ahtila-3098
"Ai, Weiwei",Male,born 1957,1957,9999,"Beijing, Zhonghua",Missing,http://www.tate.org.uk/art/artists/ai-weiwei-8208
"Aitchison, Craigie",Male,1926–2009,1926,2009,"Edinburgh, United Kingdom",Missing,http://www.tate.org.uk/art/artists/craigie-aitchison-634
"Ajmone, Giuseppe",Male,1923–2005,1923,2005,"Carpignano Sesia, Italia",Missing,http://www.tate.org.uk/art/artists/giuseppe-ajmone-635
"Aksel, Erdag",Male,born 1953,1953,9999,"Izmir, Türkiye",Missing,http://www.tate.org.uk/art/artists/erdag-aksel-14744
"Al-Ani, Jananne",Female,born 1966,1966,9999,"Kirkuk, Al-‘Iraq",Missing,http://www.tate.org.uk/art/artists/jananne-al-ani-7794
"Albers, Anni",Female,1899–1994,1899,1994,"Berlin, Deutschland","Orange, United States",http://www.tate.org.uk/art/artists/anni-albers-3067
"Albers, Josef",Male,1888–1976,1888,1976,"Bottrop, Deutschland","New Haven, United States",http://www.tate.org.uk/art/artists/josef-albers-636
"Albright, Ivan",Male,1897–1983,1897,1983,"Chicago, United States","Woodstock, United States",http://www.tate.org.uk/art/artists/ivan-albright-637
"Aldridge, John",Male,1905–1983,1905,1983,"Greenwich, United Kingdom",Missing,http://www.tate.org.uk/art/artists/john-aldridge-638
"Alechinsky, Pierre",Male,born 1927,1927,9999,"Bruxelles, België",Missing,http://www.tate.org.uk/art/artists/pierre-alechinsky-639
"Alexander, Edwin",Male,1870–1926,1870,1926,"Edinburgh, United Kingdom","Musselburgh, United Kingdom",http://www.tate.org.uk/art/artists/edwin-alexander-640
"Alexander, William",Male,1767–1816,1767,1816,"Maidstone, United Kingdom","Maidstone, United Kingdom",http://www.tate.org.uk/art/artists/william-alexander-2470
"Alimpiev, Victor",Male,born 1973,1973,9999,"Moskva, Rossiya",Missing,http://www.tate.org.uk/art/artists/victor-alimpiev-11315
Alken Family,Male,1756 –1894,1756,1894,Missing,Missing,http://www.tate.org.uk/art/artists/alken-family-2472
"Alken, Henry Thomas",Male,1785–1851,1785,1851,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/henry-thomas-alken-3
"Alken, Samuel, Senior",Male,1756–1815,1756,1815,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/samuel-alken-senior-2471
"Allan, David",Male,1744–1796,1744,1796,"Alloa, United Kingdom","Edinburgh, United Kingdom",http://www.tate.org.uk/art/artists/david-allan-2473
"Allan, Julian Phelps",Female,1892–1996,1892,1996,"Southampton, United Kingdom",Missing,http://www.tate.org.uk/art/artists/julian-phelps-allan-641
"Allan, Sir William",Male,1782–1850,1782,1850,"Edinburgh, United Kingdom","Edinburgh, United Kingdom",http://www.tate.org.uk/art/artists/sir-william-allan-4
"Allen, George Warner",Male,1916–1988,1916,1988,"Paris, France","Wallingford, United Kingdom",http://www.tate.org.uk/art/artists/george-warner-allen-2304
"Allen, Joseph William",Male,1803–1852,1803,1852,"Lambeth, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/joseph-william-allen-5
"Allen, Phillip",Male,born 1967,1967,9999,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/phillip-allen-12153
"Allen, Richard",Male,1933–1999,1933,1999,"Worcestershire, United Kingdom",Missing,http://www.tate.org.uk/art/artists/richard-allen-12520
"Alley, Anthea",Female,1927–1993,1927,1993,"Seremban, Malaysia",Missing,http://www.tate.org.uk/art/artists/anthea-alley-642
"Allington, Edward",Male,born 1951,1951,9999,"Cumbria, United Kingdom",Missing,http://www.tate.org.uk/art/artists/edward-allington-643
"Allinson, Adrian",Male,1890–1959,1890,1959,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/adrian-allinson-644
"Allom, Thomas",Male,1804–1872,1804,1872,"London, United Kingdom","Barnes, United Kingdom",http://www.tate.org.uk/art/artists/thomas-allom-2273
"Allora, Jennifer",Female,born 1974,1974,9999,"Philadelphia, United States",Missing,http://www.tate.org.uk/art/artists/jennifer-allora-6259
"Alma-Tadema, Sir Lawrence",Male,1836–1912,1836,1912,"Dronrijp, Nederland","Wiesbaden, Deutschland",http://www.tate.org.uk/art/artists/sir-lawrence-alma-tadema-6
"Almeida, Helena",Female,born 1934,1934,9999,"Lisboa, Portugal",Missing,http://www.tate.org.uk/art/artists/helena-almeida-12989
"Almond, Darren",Male,born 1971,1971,9999,"Wigan, United Kingdom",Missing,http://www.tate.org.uk/art/artists/darren-almond-2657
"Althamer, Pawel",Male,born 1967,1967,9999,"Warszawa, Polska",Missing,http://www.tate.org.uk/art/artists/pawel-althamer-7620
"Altoon, John",Male,1925–1969,1925,1969,"Los Angeles, United States",Los Angeles,http://www.tate.org.uk/art/artists/john-altoon-645
"Alÿs, Francis",Male,born 1959,1959,9999,"Antwerpen, België",Missing,http://www.tate.org.uk/art/artists/francis-alys-4427
"Amiconi, Giacomo",Male,1682–1752,1682,1752,"Napoli, Italia","Madrid, España",http://www.tate.org.uk/art/artists/giacomo-amiconi-7
"Amiet, Cuno",Male,1868–1961,1868,1961,Solothurn,Schweiz,http://www.tate.org.uk/art/artists/cuno-amiet-646
"Amorales, Carlos",Male,born 1970,1970,9999,"Ciudad de México, México",Missing,http://www.tate.org.uk/art/artists/carlos-amorales-7533
"Amuchastegui, Axel",Male,1921–2002,1921,2002,"Córdoba, España",Missing,http://www.tate.org.uk/art/artists/axel-amuchastegui-647
"Amzalag, Michael",Male,born 1967,1967,9999,"Paris, France",Missing,http://www.tate.org.uk/art/artists/michael-amzalag-14647
"Anderson, Hurvin",Male,born 1965,1965,9999,"Birmingham, United Kingdom",Missing,http://www.tate.org.uk/art/artists/hurvin-anderson-12583
"Anderton, Henry",Male,c.1630–1665,1630,1665,Missing,Missing,http://www.tate.org.uk/art/artists/henry-anderton-8
"Andrade Tudela, Armando",Male,born 1975,1975,9999,"Lima, Perú",Missing,http://www.tate.org.uk/art/artists/armando-andrade-tudela-8961
"Andrade, Jonathas de",Male,born 1982,1982,9999,"Maceió, Brasil",Missing,http://www.tate.org.uk/art/artists/jonathas-de-andrade-15587
"Andre, Carl",Male,born 1935,1935,9999,"Quincy, United States",Missing,http://www.tate.org.uk/art/artists/carl-andre-648
"Andreenko, Michel",Male,1894 –1982,1894,1982,"Odessa, Ukrayina","Paris, France",http://www.tate.org.uk/art/artists/michel-andreenko-mikhail-fedorovich-andriicenko-nechytailo-2704
"Andrews, Michael",Male,1928–1995,1928,1995,"Norwich, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/michael-andrews-649
"Angellis, Peter",Male,1685–1734,1685,1734,"Dunkerque, France","Rennes, France",http://www.tate.org.uk/art/artists/peter-angellis-9
"Annesley, David",Male,born 1936,1936,9999,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/david-annesley-650
Anonymous,Missing,Missing,9999,9999,Missing,Missing,http://www.tate.org.uk/art/artists/anonymous-5221
"Anquetin, Louis",Male,1861–1932,1861,1932,"Eure, France","Paris, France",http://www.tate.org.uk/art/artists/louis-anquetin-651
"Anrep, Boris",Male,1883–1969,1883,1969,"Sankt-Peterburg, Rossiya",Missing,http://www.tate.org.uk/art/artists/boris-anrep-652
"Ansarinia, Nazgol",Female,born 1979,1979,9999,"Tehran, Îran",Missing,http://www.tate.org.uk/art/artists/nazgol-ansarinia-13677
"Ansdell, Richard",Male,1815–1885,1815,1885,"Liverpool, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/richard-ansdell-10
"Anselmo, Giovanni",Male,born 1934,1934,9999,"Piemonte, Italia",Missing,http://www.tate.org.uk/art/artists/giovanni-anselmo-12475
"Ant Farm (Chip Lord, born 1944, Doug Michels, 1943-2003, Curtis Schreier, born 1944)",Male,Missing,9999,9999,Missing,Missing,http://www.tate.org.uk/art/artists/ant-farm-chip-lord-born-1944-doug-michels-1943-2003-curtis-schreier-born-1944-15135
"Antin, Eleanor",Female,born 1935,1935,9999,"New York, United States",Missing,http://www.tate.org.uk/art/artists/eleanor-antin-11604
"Anuszkiewicz, Richard",Male,born 1930,1930,9999,"Erie, United States",Missing,http://www.tate.org.uk/art/artists/richard-anuszkiewicz-653
"Apóstol, Alexander",Male,born 1969,1969,9999,"Barquisimeto, Venezuela",Missing,http://www.tate.org.uk/art/artists/alexander-apostol-10241
"Appel, Karel",Male,1921–2006,1921,2006,"Amsterdam, Nederland","Zürich, Schweiz",http://www.tate.org.uk/art/artists/karel-appel-654
"Appelbee, Leonard",Male,1914–2000,1914,2000,"Fulham, United Kingdom",Missing,http://www.tate.org.uk/art/artists/leonard-appelbee-655
"Appleyard, Fred",Male,1874–1963,1874,1963,"Middlesbrough, United Kingdom","Hampshire, United Kingdom",http://www.tate.org.uk/art/artists/fred-appleyard-656
"Araeen, Rasheed",Male,born 1935,1935,9999,"Karachi, Pakistan",Missing,http://www.tate.org.uk/art/artists/rasheed-araeen-2364
"Arakawa, Shusaku",Missing,1936–2010,1936,2010,"Nagoya, Nihon","New York, United States",http://www.tate.org.uk/art/artists/shusaku-arakawa-657
"Araki, Nobuyoshi",Male,born 1940,1940,9999,"Tokyo, Nihon",Missing,http://www.tate.org.uk/art/artists/nobuyoshi-araki-2752
"Araujo, Juan",Male,born 1971,1971,9999,"Caracas, Venezuela",Missing,http://www.tate.org.uk/art/artists/juan-araujo-10494
"Arbus, Diane",Female,1923–1971,1923,1971,"New York, United States","New York, United States",http://www.tate.org.uk/art/artists/diane-arbus-5271
"Arcangel, Cory",Male,born 1978,1978,9999,"Buffalo, United States",Missing,http://www.tate.org.uk/art/artists/cory-arcangel-12604
"Archipenko, Alexander",Male,1887–1964,1887,1964,"Kiyev, Ukrayina","New York, United States",http://www.tate.org.uk/art/artists/alexander-archipenko-658
"Ardizzone, Edward",Male,1900–1979,1900,1979,"Hai Phìng, Viet Nam","Kent, United Kingdom",http://www.tate.org.uk/art/artists/edward-ardizzone-659
"Ardon, Mordecai",Male,1896–1992,1896,1992,"Tuchów, Polska","Yerushalayim, Mehoz, Yisra'el",http://www.tate.org.uk/art/artists/mordecai-ardon-660
"Arikha, Avigdor",Male,1929–2010,1929,2010,"Radauti, România","Paris, France",http://www.tate.org.uk/art/artists/avigdor-arikha-661
Arman,Male,1928–2005,1928,2005,"Nice, France",Missing,http://www.tate.org.uk/art/artists/arman-armand-fernandez-662
"Armfield, Maxwell Ashby",Male,1881–1972,1881,1972,"Ringwood, United Kingdom",Missing,http://www.tate.org.uk/art/artists/maxwell-ashby-armfield-663
"Armitage, Edward",Male,1817–1896,1817,1896,"London, United Kingdom","Royal Tunbridge Wells, United Kingdom",http://www.tate.org.uk/art/artists/edward-armitage-11
"Armitage, Kenneth",Male,1916–2002,1916,2002,"Leeds, United Kingdom",Missing,http://www.tate.org.uk/art/artists/kenneth-armitage-664
"Armstead, Henry Hugh",Male,1828–1905,1828,1905,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/henry-hugh-armstead-12
"Armstrong, John",Male,1893–1973,1893,1973,"Hastings, United Kingdom",Missing,http://www.tate.org.uk/art/artists/john-armstrong-665
"Arnald, George",Male,1763–1841,1763,1841,"Berkshire, United Kingdom",Missing,http://www.tate.org.uk/art/artists/george-arnald-13
"Arnatt, Keith",Male,1930–2008,1930,2008,"Oxford, United Kingdom",Missing,http://www.tate.org.uk/art/artists/keith-arnatt-666
"Arp, Jean",Male,1886–1966,1886,1966,"Strasburg, Deutschland","Basel, Schweiz",http://www.tate.org.uk/art/artists/jean-arp-hans-arp-667
Art & Language (Harold Hurrell),Male,born 1940,1940,9999,Missing,Missing,http://www.tate.org.uk/art/artists/art-language-harold-hurrell-16245
Art & Language (Ian Burn),Male,1939–1993,1939,1993,"Geelong, Australia",Missing,http://www.tate.org.uk/art/artists/art-language-ian-burn-16236
Art & Language (Michael Baldwin),Male,born 1945,1945,9999,"Chipping Norton, United Kingdom",Missing,http://www.tate.org.uk/art/artists/art-language-michael-baldwin-16838
"Art & Language (Michael Baldwin, born 1945; Mel Ramsden, born 1944)",Missing,Missing,1944,9999,Missing,Missing,http://www.tate.org.uk/art/artists/art-language-michael-baldwin-born-1945-mel-ramsden-born-1944-2202
"Art & Language (Terry Atkinson, born 1939; David Bainbridge, born 1941; Michael Baldwin, born 1945; Harold Hurrell, born",Missing,established 1967/1968,1967,9999,Missing,Missing,http://www.tate.org.uk/art/artists/art-language-terry-atkinson-born-1939-david-bainbridge-born-1941-michael-baldwin-born-1945-17138
"Art & Language (Terry Atkinson, born 1939; Michael Baldwin, born 1945)",Missing,Missing,1939,9999,Missing,Missing,http://www.tate.org.uk/art/artists/art-language-terry-atkinson-born-1939-michael-baldwin-born-1945-668
"Artaud, William",Male,1763–1823,1763,1823,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/william-artaud-2474
"Artschwager, Richard",Male,1923 – 2013,1923,2013,"Washington, United States",Missing,http://www.tate.org.uk/art/artists/richard-artschwager-669
"Askew, Victor",Male,1909–1974,1909,1974,"Rotherham, United Kingdom","Hertfordshire, United Kingdom",http://www.tate.org.uk/art/artists/victor-askew-670
"Ataman, Kutlug",Male,born 1961,1961,9999,"Istanbul, Türkiye",Missing,http://www.tate.org.uk/art/artists/kutlug-ataman-5229
"Atay, Fikret",Male,born 1974,1974,9999,"Batman, Türkiye",Missing,http://www.tate.org.uk/art/artists/fikret-atay-6630
"Atkins, Ed",Male,born 1982,1982,9999,United Kingdom,Missing,http://www.tate.org.uk/art/artists/ed-atkins-15601
"Atkins, Samuel",Male,active 1787–1808,1787,1808,Missing,Missing,http://www.tate.org.uk/art/artists/samuel-atkins-14
"Atkinson, Conrad",Male,born 1940,1940,9999,"Cumbria, United Kingdom",Missing,http://www.tate.org.uk/art/artists/conrad-atkinson-671
"Atkinson, John Augustus",Male,1775–1830,1775,1830,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/john-augustus-atkinson-2412
"Atkinson, Lawrence",Male,1873–1931,1873,1931,Missing,Missing,http://www.tate.org.uk/art/artists/lawrence-atkinson-672
"Atkinson, Terry",Male,born 1939,1939,9999,"Barnsley, United Kingdom",Missing,http://www.tate.org.uk/art/artists/terry-atkinson-11829
"Atlan, Jean-Michel",Male,1913–1960,1913,1960,"Qacentina, Al-Jaza'ir","Paris, France",http://www.tate.org.uk/art/artists/jean-michel-atlan-673
Atlas Group,Missing,established 1999,1999,9999,Missing,Missing,http://www.tate.org.uk/art/artists/atlas-group-7639
"Atlas, Charles",Male,born 1958,1958,9999,"Saint Louis City, United States",Missing,http://www.tate.org.uk/art/artists/charles-atlas-15557
"Attia, Kader",Male,born 1970,1970,9999,"Dugny, France",Missing,http://www.tate.org.uk/art/artists/kader-attia-13674
"Atwood, Clare",Female,1866–1962,1866,1962,"Richmond, United Kingdom","Tenterden, United Kingdom",http://www.tate.org.uk/art/artists/clare-atwood-674
"Auerbach, Arnold",Male,1898–1978,1898,1978,"Liverpool, United Kingdom",Missing,http://www.tate.org.uk/art/artists/arnold-auerbach-675
"Auerbach, Frank",Male,born 1931,1931,9999,"Berlin, Deutschland",Missing,http://www.tate.org.uk/art/artists/frank-auerbach-676
"Augustyniak, Mathias",Male,born 1968,1968,9999,"Cavaillon, France",Missing,http://www.tate.org.uk/art/artists/mathias-augustyniak-14648
"Aumonier, James",Male,1832–1911,1832,1911,Missing,Missing,http://www.tate.org.uk/art/artists/james-aumonier-15
"Austen, David",Male,born 1960,1960,9999,"Harlow, United Kingdom",Missing,http://www.tate.org.uk/art/artists/david-austen-2398
"Austin, Robert",Male,1895–1973,1895,1973,"Leicester, United Kingdom",Missing,http://www.tate.org.uk/art/artists/robert-austin-677
"Avedon, Richard",Male,1923–2004,1923,2004,"New York, United States","San Antonio, United States",http://www.tate.org.uk/art/artists/richard-avedon-5711
"Avery, Charles",Male,born 1973,1973,9999,"Oban, United Kingdom",Missing,http://www.tate.org.uk/art/artists/charles-avery-10764
"Avery, Milton",Male,1893–1965,1893,1965,"Altmar, United States","New York, United States",http://www.tate.org.uk/art/artists/milton-avery-678
"Aviline, François Antoine",Male,1727–1780,1727,1780,Missing,Missing,http://www.tate.org.uk/art/artists/francois-antoine-aviline-2714
"Aylesford, Heneage Finch, Fifth Earl of",Male,1786–1859,1786,1859,Missing,Missing,http://www.tate.org.uk/art/artists/heneage-finch-fifth-earl-of-aylesford-2479
"Aylesford, Heneage Finch, Fourth Earl of",Male,1751–1812,1751,1812,Missing,Missing,http://www.tate.org.uk/art/artists/heneage-finch-fourth-earl-of-aylesford-2480
"Ayot, Pierre",Male,born 1943,1943,9999,"Québec, Canada","Québec, Canada",http://www.tate.org.uk/art/artists/pierre-ayot-679
"Ayres, OBE Gillian",Female,born 1930,1930,9999,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/gillian-ayres-obe-680
"Ayrton, Michael",Male,1921–1975,1921,1975,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/michael-ayrton-681
"Baalbaki, Ayman",Male,born 1975,1975,9999,"Marj ‘Uyun, Al-Lubnan",Missing,http://www.tate.org.uk/art/artists/ayman-baalbaki-14743
"Bäckström, Miriam",Female,born 1967,1967,9999,"Stockholm, Sverige",Missing,http://www.tate.org.uk/art/artists/miriam-backstrom-13866
"Bacon, Francis",Male,1909–1992,1909,1992,"Dublin, Éire","Madrid, España",http://www.tate.org.uk/art/artists/francis-bacon-682
"Bacon, John",Missing,1740–1799,1740,1799,Missing,Missing,http://www.tate.org.uk/art/artists/john-bacon-18070
"Bacon, John Henry F.",Male,1868–1915,1868,1915,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/john-henry-f-bacon-683
"Bacon, Sir Nathaniel",Male,1585–1627,1585,1627,Missing,Missing,http://www.tate.org.uk/art/artists/sir-nathaniel-bacon-2370
"Baehnisch, Ruth",Missing,1910–1997,1910,1997,Missing,Missing,http://www.tate.org.uk/art/artists/ruth-baehnisch-12918
"Baer, Jo",Female,born 1929,1929,9999,"Seattle, United States",Missing,http://www.tate.org.uk/art/artists/jo-baer-684
"Baertling, Olle",Male,1911–1981,1911,1981,"Halmstad, Sverige","Stockholm, Sverige",http://www.tate.org.uk/art/artists/olle-baertling-685
"Baily, Edward Hodges",Male,1788–1867,1788,1867,"Bristol, United Kingdom","Islington, United Kingdom",http://www.tate.org.uk/art/artists/edward-hodges-baily-16
"Baj, Enrico",Male,1924–2003,1924,2003,"Milano, Italia",Missing,http://www.tate.org.uk/art/artists/enrico-baj-686
"Bakhshi Moakhar, Mahmoud",Male,born 1977,1977,9999,"Tehran, Îran",Missing,http://www.tate.org.uk/art/artists/mahmoud-bakhshi-moakhar-13678
"Baldessari, John",Male,born 1931,1931,9999,"National City, United States",Missing,http://www.tate.org.uk/art/artists/john-baldessari-687
"Balka, Miroslaw",Male,born 1958,1958,9999,"Warszawa, Polska",Missing,http://www.tate.org.uk/art/artists/miroslaw-balka-2360
"Balla, Giacomo",Male,1871–1958,1871,1958,"Torino, Italia","Roma, Italia",http://www.tate.org.uk/art/artists/giacomo-balla-688
"Ballen, Roger",Male,born 1950,1950,9999,"New York, United States",Missing,http://www.tate.org.uk/art/artists/roger-ballen-12038
"Baltz, Lewis",Male,born 1945,1945,9999,"Newport Beach, United States",Missing,http://www.tate.org.uk/art/artists/lewis-baltz-5373
"Banc, Jef",Male,born 1930,1930,9999,"Paris, France",Missing,http://www.tate.org.uk/art/artists/jef-banc-690
"Banner, Fiona",Female,born 1966,1966,9999,"England, United Kingdom",Missing,http://www.tate.org.uk/art/artists/fiona-banner-2687
"Banting, John",Male,1902–1971,1902,1971,"Chelsea, United Kingdom","Hastings, United Kingdom",http://www.tate.org.uk/art/artists/john-banting-691
"Baran, Stefan",Male,born 1922,1922,9999,"Dormans, France",Missing,http://www.tate.org.uk/art/artists/stefan-baran-692
"Barclay, Claire",Female,born 1968,1968,9999,"Paisley, United Kingdom",Missing,http://www.tate.org.uk/art/artists/claire-barclay-4731
"Barenger, James",Male,1780–1831,1780,1831,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/james-barenger-18
"Barham, Anna",Female,born 1974,1974,9999,"Sutton Coldfield, United Kingdom",Missing,http://www.tate.org.uk/art/artists/anna-barham-12686
"Barker, Clive",Male,born 1940,1940,9999,"Luton, United Kingdom",Missing,http://www.tate.org.uk/art/artists/clive-barker-693
"Barker, Margaret",Female,born 1907,1907,9999,"Sydenham, United Kingdom",Missing,http://www.tate.org.uk/art/artists/margaret-barker-694
"Barker, Thomas, of Bath",Male,1769–1847,1769,1847,"Pontypool, United Kingdom","Bath, United Kingdom",http://www.tate.org.uk/art/artists/thomas-barker-of-bath-19
"Barlach, Ernst",Male,1870–1938,1870,1938,"Wedel, Deutschland","Rostock, Deutschland",http://www.tate.org.uk/art/artists/ernst-barlach-695
"Barlow, Francis",Male,?1626–1704,1626,1704,Missing,"London, United Kingdom",http://www.tate.org.uk/art/artists/francis-barlow-20
"Barlow, Phyllida",Female,born 1944,1944,9999,"Newcastle upon Tyne, United Kingdom",Missing,http://www.tate.org.uk/art/artists/phyllida-barlow-10908
"Barnard, Rev. William Henry",Male,1767 or 9–1818,1767,1818,Missing,Missing,http://www.tate.org.uk/art/artists/rev-william-henry-barnard-2476
"Barney, Matthew",Male,born 1967,1967,9999,"San Francisco, United States",Missing,http://www.tate.org.uk/art/artists/matthew-barney-2362
"Barni, Roberto",Male,born 1939,1939,9999,"Pistoia, Italia",Missing,http://www.tate.org.uk/art/artists/roberto-barni-696
"Barns-Graham, Wilhelmina",Female,1912–2004,1912,2004,"Saint Andrews, United Kingdom",Missing,http://www.tate.org.uk/art/artists/wilhelmina-barns-graham-697
"Barrada, Yto",Female,born 1971,1971,9999,"Paris, France",Missing,http://www.tate.org.uk/art/artists/yto-barrada-14953
"Barret, George, Junior",Male,1767–1842,1767,1842,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/george-barret-junior-22
"Barret, George, Senior",Male,1728 or 32–1784,1728,1784,"Dublin, Éire","London, United Kingdom",http://www.tate.org.uk/art/artists/george-barret-senior-21
"Barriball, Anna",Female,born 1972,1972,9999,"Plymouth, United Kingdom",Missing,http://www.tate.org.uk/art/artists/anna-barriball-10168
"Barron, Hugh",Male,1747–1791,1747,1791,Missing,Missing,http://www.tate.org.uk/art/artists/hugh-barron-23
"Barros, Geraldo de",Male,1923–1998,1923,1998,Missing,Missing,http://www.tate.org.uk/art/artists/geraldo-de-barros-14311
"Barrow, Joseph Charles",Male,active 1789–1802,1789,1802,Missing,Missing,http://www.tate.org.uk/art/artists/joseph-charles-barrow-2477
"Barry, James",Male,1741–1806,1741,1806,"Cork, Éire","London, United Kingdom",http://www.tate.org.uk/art/artists/james-barry-24
"Bartana, Yael",Female,born 1970,1970,9999,"‘Afula, Yisra'el",Missing,http://www.tate.org.uk/art/artists/yael-bartana-6882
"Barth, Uta",Female,born 1958,1958,9999,"Berlin, Deutschland",Missing,http://www.tate.org.uk/art/artists/uta-barth-2678
"Bartlett, Jennifer",Female,born 1941,1941,9999,"Long Beach, United States",Missing,http://www.tate.org.uk/art/artists/jennifer-bartlett-698
"Bartolozzi, Francesco",Male,1727–1815,1727,1815,"Firenze, Italia","Lisboa, Portugal",http://www.tate.org.uk/art/artists/francesco-bartolozzi-2478
"Basbaum, Ricardo",Male,born 1961,1961,9999,"São Paulo, Brasil",Missing,http://www.tate.org.uk/art/artists/ricardo-basbaum-6217
"Baselitz, Georg",Male,born 1938,1938,9999,"Sachsen, Deutschland",Missing,http://www.tate.org.uk/art/artists/georg-baselitz-699
"Baskin, Leonard",Male,1922–2000,1922,2000,"New Brunswick, United States","Northampton, United States",http://www.tate.org.uk/art/artists/leonard-baskin-700
"Batchelor, David",Male,born 1955,1955,9999,"Dundee, United Kingdom",Missing,http://www.tate.org.uk/art/artists/david-batchelor-4915
"Bateman, James",Male,1815–1849,1815,1849,Missing,Missing,http://www.tate.org.uk/art/artists/james-bateman-25
"Bateman, James",Male,1893–1959,1893,1959,"Kendal, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/james-bateman-701
"Bates, Harry",Male,1850–1899,1850,1899,"Stevenage, United Kingdom","Saint John's Wood, United Kingdom",http://www.tate.org.uk/art/artists/harry-bates-26
"Bates, Maxwell",Male,1906–1980,1906,1980,"Calgary, Canada","Victoria, Canada",http://www.tate.org.uk/art/artists/maxwell-bates-702
"Batterham, Richard",Male,born 1936,1936,9999,United Kingdom,Missing,http://www.tate.org.uk/art/artists/richard-batterham-8807
