artistId,artworkId,accession_number,artistRole
38,1035,A00001,artist
38,1036,A00002,artist
38,1037,A00003,artist
38,1038,A00004,artist
39,1039,A00005,artist
39,1040,A00006,artist
39,1041,A00007,artist
39,1042,A00008,artist
39,1043,A00009,artist
39,1044,A00010,artist
39,1045,A00011,artist
39,1046,A00012,artist
39,1047,A00013,artist
39,1048,A00014,artist
39,1049,A00015,artist
39,1050,A00016,artist
39,1051,A00017,artist
39,1052,A00018,artist
39,1053,A00019,artist
39,1054,A00020,artist
39,1055,A00021,artist
39,1056,A00022,artist
39,1057,A00023,artist
39,1058,A00024,artist
39,1059,A00025,artist
39,1060,A00026,artist
39,1061,A00027,artist
39,1062,A00028,artist
39,1063,A00029,artist
39,1064,A00030,artist
39,1065,A00031,artist
39,1066,A00032,artist
39,1067,A00033,artist
39,1068,A00034,artist
39,1069,A00035,artist
39,1070,A00036,artist
39,1071,A00037,artist
39,1072,A00038,artist
39,1073,A00039,artist
39,1074,A00040,artist
39,1075,A00041,artist
39,1076,A00042,artist
39,1077,A00043,artist
39,1078,A00044,artist
39,1079,A00045,artist
39,1080,A00046,artist
39,1081,A00047,artist
39,1082,A00048,artist
39,1083,A00049,artist
447,1183,A00050,attributed to
59,1505,A00051,artist
59,1506,A00052,artist
59,1507,A00053,artist
59,1508,A00054,artist
59,1509,A00055,artist
59,1510,A00056,artist
68,1695,A00057,artist
68,1696,A00058,artist
68,1697,A00059,artist
68,1698,A00060,artist
68,1699,A00061,artist
68,1700,A00062,artist
68,1701,A00063,artist
68,1702,A00064,artist
68,1703,A00065,artist
68,1704,A00066,artist
68,1705,A00067,artist
68,1706,A00068,artist
68,1707,A00069,artist
68,1708,A00070,artist
68,1709,A00071,artist
68,1710,A00072,artist
68,1711,A00073,artist
68,1712,A00074,artist
68,1713,A00075,artist
68,1714,A00076,artist
68,1715,A00077,artist
68,1716,A00078,artist
68,1717,A00079,artist
68,1718,A00080,artist
68,1719,A00081,artist
68,1720,A00082,artist
68,1721,A00083,artist
68,20228,A00084,artist
68,1722,A00085,artist
68,1723,A00086,artist
68,1724,A00087,artist
68,1725,A00088,artist
68,1726,A00089,artist
68,1727,A00090,artist
68,1728,A00091,artist
68,1729,A00092,artist
68,1730,A00093,artist
68,1731,A00094,artist
68,1732,A00095,artist
68,1733,A00096,artist
68,1734,A00097,artist
68,1735,A00098,artist
68,1736,A00099,artist
68,20230,A00100,artist
68,1737,A00101,artist
68,1738,A00102,artist
68,1739,A00103,artist
68,20231,A00104,artist
68,1740,A00105,artist
68,1741,A00106,artist
68,20233,A00107,artist
68,1742,A00108,artist
68,1743,A00109,artist
68,1744,A00110,artist
39,1118,A00111,artist
39,19411,A00112,artist
39,19412,A00113,artist
39,19413,A00114,artist
39,19414,A00115,artist
39,19415,A00116,artist
39,19416,A00117,artist
39,19417,A00118,artist
39,19418,A00119,artist
39,19419,A00120,artist
39,19420,A00121,artist
39,19421,A00122,artist
39,19422,A00123,artist
39,19423,A00124,artist
39,19424,A00125,artist
39,19425,A00126,artist
39,19426,A00127,artist
68,1762,A00128,artist
68,1763,A00129,artist
68,1764,A00130,artist
79,1915,A00131,artist
79,1916,A00132,artist
79,1917,A00133,artist
79,1918,A00134,artist
79,1919,A00135,artist
79,1920,A00136,artist
79,1921,A00137,artist
